especie,fecha,apertura,maximo,minimo,cierre,volumen
S2N4D,2024-10-01,0.085,0.085,0.085,0.085,1765000.0
S2N4D,2024-10-10,0.09,0.09,0.09,0.09,3000.0
S2N4D,2024-10-14,0.092,0.097,0.092,0.097,50628604.0
S2N4D,2024-10-15,0.092,0.097,0.092,0.093,13012266.0
S2N4D,2024-10-16,0.092,0.094,0.092,0.092,16925406.0
S2N4D,2024-10-17,0.093,0.093,0.09,0.091,8911950.0
S2N4D,2024-10-18,0.091,0.097,0.091,0.092,3210928.0
S2N4D,2024-10-21,0.092,0.092,0.091,0.092,29666295.0
S2N4D,2024-10-22,0.092,0.094,0.092,0.093,5822798.0
S2N4D,2024-10-23,0.092,0.092,0.091,0.092,118621043.0
S2N4D,2024-10-24,0.092,0.093,0.091,0.093,126237560.0
S2N4D,2024-10-25,0.092,0.095,0.092,0.095,169922651.0
S2N4D,2024-10-28,0.094,0.095,0.093,0.095,69164330.0
S2N4D,2024-10-29,0.095,0.096,0.094,0.095,49645709.0
S2N4D,2024-10-30,0.095,0.096,0.093,0.094,34671665.0
